year,value
1850,2.05
1851,2.03
1852,2.24
1853,2.25
1854,2.28
1855,2.28
1856,2.32
1857,2.34
1858,2.36
1859,2.4
1860,2.45
1861,2.51
1862,2.3
1863,2.33
1864,2.36
1865,2.39
1866,2.4
1867,2.44
1868,2.45
1869,2.48
1870,2.49
1871,2.6
1872,2.98
1873,3.07
1874,3.05
1875,3.13
1876,3.17
1877,3.21
1878,3.24
1879,3.33
1880,3.46
1881,3.63
1882,3.52
1883,3.61
1884,3.64
1885,3.67
1886,3.7
1887,3.76
1888,3.9
1889,3.88
1890,3.99
1891,4.04
1892,4.1
1893,4.08
1894,4.2
1895,4.3
1896,4.35
1897,4.44
1898,4.54
1899,4.7
1900,4.81
1901,5.12
1902,5.18
1903,5.48
1904,5.61
1905,5.85
1906,6.09
1907,6.47
1908,6.39
1909,6.53
1910,6.7
1911,6.54
1912,6.55
1913,6.71
1914,6.35
1915,6.27
1916,6.53
1917,6.71
1918,6.68
1919,6.24
1920,6.74
1921,6.47
1922,6.61
1923,7.09
1924,7.12
1925,7.17
1926,7.12
1927,7.61
1928,7.65
1929,8.06
1930,8.02
1931,7.63
1932,6.92
1933,7.09
1934,7.34
1935,7.53
1936,7.94
1937,8.17
1938,7.91
1939,8.15
1940,8.51
1941,8.6
1942,8.7
1943,8.87
1944,8.87
1945,8.08
1946,8.78
1947,9.43
1948,9.75
1949,9.6
1950,10.13
1951,11.45
1952,11.66
1953,11.86
1954,12.16
1955,13.09
1956,13.8
1957,14.22
1958,14.71
1959,14.71
1960,15.24
1961,15.56
1962,15.87
1963,16.49
1964,17.11
1965,17.62
1966,18.35
1967,18.77
1968,19.3
1969,20.11
1970,21.04
1971,21.06
1972,21.69
1973,22.53
1974,22.49
1975,22.35
1976,23.54
1977,24.05
1978,24.76
1979,25.16
1980,24.85
1981,24.41
1982,24.87
1983,25.26
1984,26.06
1985,26.77
1986,27.19
1987,27.93
1988,28.95
1989,29.46
1990,28.34
1991,28.52
1992,27.79
1993,28.2
1994,28.52
1995,29.06
1996,29.7
1997,29.82
1998,29.77
1999,30.11
2000,30.63
2001,31.5
2002,32.34
2003,33.75
2004,35.22
2005,35.96
2006,36.61
2007,37.46
2008,37.78
2009,37.74
2010,39.32
2011,40.35
2012,40.7
2013,41.42
2014,41.8
2015,41.8
